Precinct,Address
100th Precinct,"92-24 Rockaway Beach Blvd, Queens, NY 11693"
102nd Precinct,"87-34 118th St, Richmond Hill, NY 11418"
104th Precinct,"6402 Catalpa Ave, Ridgewood, NY 11385"
106th Precinct,"103-53 10st St, Ozone Park, NY 11417"
107th Precinct,"71-01 Parsons Blvd, Fresh Meadows, NY 11365"
108th Precinct,"547 50th Ave, Long Island City, NY 11101"
109th Precinct,"37-05 Union St, Flushing, NY 11354"
10th Precinct,"230 W 20th St, New York, NY 10011"
110th Precinct,"94-41 43rd Ave, Elmhurst, NY 11373"
112th Precinct,"68-40 Austin St, Forest Hills, NY 11375"
113th Precinct,"167-02 Baisley Blvd, Jamaica, NY 11434"
114th Precinct,"34-16 Astoria Blvd S, Astoria, NY 11103"
115th Precinct,"92-15 Northern Blvd, Jackson Heights, NY 11372"
120th Precinct,"78 Richmond Terrace, Staten Island, NY 10301"
122nd Precinct,"2320 Hylan Blvd, Staten Island, NY 10306"
13th Precinct,"230 E 21st St, New York, NY 10010"
17th Precinct,"167 E 51st St, New York, NY 10022"
19th Precinct,"153 E 67th St, New York, NY 10065"
1st Precinct,"16 Ericsson Pl, New York, NY 10013"
22nd Precinct,"100 86th St Transverse, New York, NY 10128"
24th Precinct,"151 W 100th St, New York, NY 10025"
25th Precinct,"120 E 119th St, New York, NY 10035"
26th Precinct,"520 W 126th St, New York, NY 10027"
28th Precinct,"2271-89 Frederick Douglass Blvd, New York, NY 10027"
30th Precinct,"451 W 151st St, New York, NY 10031"
32nd Precinct,"250 W 135th St, New York, NY 10030"
34th Precinct,"4295 Broadway, New York, NY 10033"
41st Precinct,"1035 Longwood Ave, The Bronx, NY 10459"
42nd Precinct,"830 Washington Ave, The Bronx, NY 10451"
43rd Precinct,"900 Fteley Ave, The Bronx, NY 10473"
44th Precinct,"2 E 169th St, The Bronx, NY 10452"
45th Precinct,"2877 Barkley Ave, The Bronk, NY 10465"
46th Precinct,"2120 Ryer Ave, the Bronx, NY 10457"
47th Precinct,"4111 Laconia Ave, The Bronx, NY 10466"
48th Precinct,"450 Cross Bronx Expy, The Bronx, NY 10457"
49th Precinct,"2121 Eastchester Rd, The Bronx, NY 10461"
5th Precinct,"19 Elizabeth St, New York, NY 10013"
60th Precinct,"2951 W 8th St, Brooklyn, NY 11224"
61st Precinct,"2575 Coney Island Ave, Brooklyn NY 11223"
62nd Precinct,"1925 Bath Ave, Brooklyn, NY 11214"
63rd Precinct,"1844 Brooklyn Ave, Brooklyn, NY 11210"
66th Precinct,"5822 16th Ave, Brooklyn, NY 11204"
67th Precinct,"2820 Snyder Ave, Brooklyn, NY 11226"
68th Precinct,"333 65th St, Brooklyn NY 11220"
69th Precinct,"9720 Foster Ave, Brooklyn, NY 11236"
6th Precinct,"233 W 10th St, New York, NY 10014"
70th Precinct,"154 Lawrence Ave, Brooklyn NY 11230"
71st Precinct,"421 Empire Blvd, Brooklyn, NY 11225"
72nd Precinct,"830 4th Ave, Brooklyn, NY 11232"
73rd Precinct,"1470 E New York Ave, Brooklyn, NY 11212"
75th Precinct,"484 Liberty Ave, Brooklyn, NY 11207"
75th Precinct,"1000 Sutter Ave, Brooklyn, NY 11208"
76th Precinct,"191 Union St, Brooklyn, NY 11231"
77th Precinct,"127 Utica Ave, Brooklyn, NY 11213"
78th Precinct,"65 6th Ave, Brooklyn, NY 11217"
79th Precinct,"263 Tompkins Ave, Brooklyn, NY 11216"
7th Precinct,"19 Â½ Pitt St, New York, NY 10002"
83rd Precinct,"480 Knickerbocker Ave, Brooklyn, NY 11237"
84th Precinct,"301 Gold St, Brooklyn, NY 11201"
88th Precinct,"298 Classon Ave, Brooklyn, NY 11205"
90th Precinct,"211 Union Ave, Brooklyn NY 11211"
94th Precinct,"100 Meserole Ave, Brooklyn, NY 11222"
9th Precinct,"321 E 5th St, New York NY 10003"
Booking,"120 Schermerhorn St, Brooklyn, NY 11201"
Headquarters,"1 Police Plaza Path, New York, NY 10038"
Midtown Precinct North,"306 W 54th St, New York, NY 10019"
Midtown Precinct South,"357 W 35th St, New York, NY 10001"
None,"2860 W 23rd St, Brooklyn, NY 11224"
None,"2 Lafayette St, New York, NY 10007"
Police Service Area 2,"560 Sutter Ave, Brooklyn NY 11207"
Service Area 4,"130 Loisaida Ave, New York, NY 10009"
